ZipCode,Time,Value
60657,2011-01-01,729300.0
60614,2011-01-01,923000.0
60640,2011-01-01,600000.0
60647,2011-01-01,286500.0
60618,2011-01-01,317400.0
60613,2011-01-01,722000.0
60629,2011-01-01,125300.0
60625,2011-01-01,337500.0
60619,2011-01-01,122200.0
60610,2011-01-01,749200.0
60620,2011-01-01,127600.0
60634,2011-01-01,196600.0
60626,2011-01-01,316500.0
60649,2011-01-01,148800.0
60616,2011-01-01,289000.0
60622,2011-01-01,532700.0
60615,2011-01-01,372500.0
60641,2011-01-01,195100.0
60660,2011-01-01,429900.0
60608,2011-01-01,179800.0
60657,2011-02-01,730200.0
60614,2011-02-01,925000.0
60640,2011-02-01,601600.0
60647,2011-02-01,285800.0
60618,2011-02-01,316300.0
60613,2011-02-01,723400.0
60629,2011-02-01,124300.0
60625,2011-02-01,339500.0
60619,2011-02-01,122200.0
60610,2011-02-01,748600.0
60620,2011-02-01,126900.0
60634,2011-02-01,195000.0
60626,2011-02-01,317900.0
60649,2011-02-01,148700.0
60616,2011-02-01,288100.0
60622,2011-02-01,531700.0
60615,2011-02-01,370600.0
60641,2011-02-01,194600.0
60660,2011-02-01,428800.0
60608,2011-02-01,179400.0
60657,2011-03-01,730700.0
60614,2011-03-01,923300.0
60640,2011-03-01,599700.0
60647,2011-03-01,283800.0
60618,2011-03-01,314000.0
60613,2011-03-01,724200.0
60629,2011-03-01,123100.0
60625,2011-03-01,340600.0
60619,2011-03-01,122500.0
60610,2011-03-01,747300.0
60620,2011-03-01,125500.0
60634,2011-03-01,193200.0
60626,2011-03-01,319600.0
60649,2011-03-01,147200.0
60616,2011-03-01,287300.0
60622,2011-03-01,530900.0
60615,2011-03-01,368800.0
60641,2011-03-01,193700.0
60660,2011-03-01,426200.0
60608,2011-03-01,178200.0
60657,2011-04-01,730000.0
60614,2011-04-01,916600.0
60640,2011-04-01,590500.0
60647,2011-04-01,282100.0
60618,2011-04-01,311400.0
60613,2011-04-01,722300.0
60629,2011-04-01,121500.0
60625,2011-04-01,340500.0
60619,2011-04-01,123300.0
60610,2011-04-01,745300.0
60620,2011-04-01,124600.0
60634,2011-04-01,190600.0
60626,2011-04-01,321400.0
60649,2011-04-01,144800.0
60616,2011-04-01,286400.0
60622,2011-04-01,530600.0
60615,2011-04-01,368900.0
60641,2011-04-01,191200.0
60660,2011-04-01,419400.0
60608,2011-04-01,176900.0
