zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
60657,41.93998,-87.65374,Chicago,IL,Illinois,True,,70052,11207.9,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60614,41.9228,-87.65139,Chicago,IL,Illinois,True,,71308,8244.5,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60640,41.972359999999995,-87.66346999999999,Chicago,IL,Illinois,True,,69715,10530.6,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60647,41.92068,-87.70167,Chicago,IL,Illinois,True,,87509,8385.0,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60618,41.94696,-87.70262,Chicago,IL,Illinois,True,,94395,7114.6,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60613,41.95583,-87.65796,Chicago,IL,Illinois,True,,50113,8572.6,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60629,41.77567,-87.71176,Chicago,IL,Illinois,True,,111850,6466.2,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60625,41.97335,-87.70014,Chicago,IL,Illinois,True,,79243,7837.6,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60619,41.74373,-87.60549,Chicago,IL,Illinois,True,,61258,4092.5,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60610,41.90487,-87.63615,Chicago,IL,Illinois,True,,39019,12585.9,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60620,41.7408,-87.6525,Chicago,IL,Illinois,True,,68096,3935.6,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60634,41.94635,-87.8061,Chicago,IL,Illinois,True,,75995,4033.0,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60626,42.009029999999996,-87.66963,Chicago,IL,Illinois,True,,49730,11355.1,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60649,41.76303,-87.57030999999999,Chicago,IL,Illinois,True,,46024,6148.9,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60616,41.84522,-87.62720999999999,Chicago,IL,Illinois,True,,54464,4677.4,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60622,41.90274,-87.68330999999999,Chicago,IL,Illinois,True,,52793,8213.0,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60615,41.80223,-87.60271999999999,Chicago,IL,Illinois,True,,41563,7086.4,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60641,41.94659,-87.74676,Chicago,IL,Illinois,True,,71023,6845.9,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60660,41.9911,-87.66604,Chicago,IL,Illinois,True,,43242,12796.8,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
60608,41.84876,-87.6713,Chicago,IL,Illinois,True,,79205,5068.9,17031,Cook,{'17031':100},Cook,17031,False,False,America/Chicago
